tag,description
highlight,Highlight
Edith Renfrow Smith, Mrs. Edith Renfrow Smith‚ Grinnell College’s first Black alumna. Descended from mid-19th century freedom seekers to Iowa‚ she was born in Grinnell‚ IA and nurtured in a Black extended family. At a vibrant and engaged 110‚ the retired teacher and lifelong volunteer proudly embodies the community spirit of a “true Grinnellian.”
Anna May Lucas, --Needs description--
Stockton, --Needs description--
California, --Needs description--
Anna May Boyden, --Needs description--
Howard Boyden, --Needs description--
San Francisco, --Needs description--
Eva Pearl Craig, --Needs description--
Grinnell Academy, --Needs description--
Grace Parsons, --Needs description--
Grace Parsons Peck, --Needs description--
Mrs. Paul Peck, --Needs description--
Uncle John, --Needs description--
Kansas City, --Needs description--
Zululand, --Needs description--
Sedweyo, --Needs description--
Mona Chie, --Needs description--
Blamos Sedweyo, --Needs description--
caligraphy, --Needs description--
Rosenwald scholars, --Needs description--
Hosea Campbell, --Needs description--
Gordon Kitchen, --Needs description--
Alphonse Henningburg, --Needs description--











