timestamp,speaker,words,tags,highlight,timelink 
,Yeager, I am going to begin by reading you just a few events that took place in the year '65‚ '66 when you began school here. There was the Selma march‚ Dr. Martin Luther King. There was violence all over the South and all over the nation for that matter‚ sporadic violence. The Watts riot‚ the Chicago riot ... 
,Farbes, That was in the summer before I came to school. 
,Yeager, In 166 there was the rise of Black power‚ the rise of Stokeley Carmichael and CORE and the King march in Chicago for better housing. These are some of the things that went on as you were going off to school in Grinnell. I'd like to start by talking a little about your family background; your parents' occupations‚ your hometown‚ the nature of your high school‚ your religious affiliation‚ your parents' political affiliation and your political affiliation. So do you want to begin talking about ... 
,Farbes, Those are going to take a little bit of time‚ they are a little bit complex. My parents' occupations are widely varied. My father is from a family whose roots are in Louisiana Creole race and it really is a different race. My father~s family migrated from Louisiana‚ from a parish in central Louisiana in about 1905 or something like that. And they came as a group with a number of other people in that parish to central Oklahoma. They are black people in the sense they are not caucasians but they are a mixed race. There are Indians‚ and French speaking whites hav‚fng inter-married with blacks and the resulting race is my father's family. So on my father's side I had a number of people who did not speak or write English very well. They spoke pidgin French and they lived as I said in a fairly localized area in central Oklahoma. My mother's family is a more traditional black family ftom somewhere in Arkansas and migrated to central western Oklahoma. My mother's family is made up of educators. My grandfather was the County Director of the Public School System‚ the segregated public school system. And my grandmother was a teacher in the school system and my mother had a college education. My father does not have a college education; in face he didn't graduate from high school until after he'd worked for a while. He was a construction worker until I was about in the 7th grade. He worked construction and I lived in a little town called Okmulgee‚ Oklahoma‚ which is where his family is from. It's a Creek Indian name‚ and there are a number of Indians who live in that area. That was part of the reason that my father's family settled there because there are Indians in their family. There's a lot of inter-mixing. I grew up‚ I was born in that town‚ and I grew up in that town in my early years because I was the oldest child in the family. My father got a job in the U.S. Postal system when I was in the 7th grade‚ and he moved to Oklahoma City and eventually got enough money together so that we could move‚ so we moved there. My mother has always been a professional. She had a college degree‚ she was a social worker and a part-time teacher when we lived in Okmulgee. She was a social worker‚ and then she was an officer in the Urban League and then she was a high school teacher‚ since when we moved to Oklahoma City. I was in the 8th grade when we moved to Oklahoma City and that's where I went to high school. My religion is my father's family religion which is Roman Catholic. They are from this French Creole background‚ and they are all Catholics. And that's the religion that all the kids have. I have two brothers and a sister‚ my oldest brother and sister are faily close in age to me. My sister is the youngest of the three of us and she is only five or six years younger than I am. My youngest   brother is 16 years younger than I am so then:“s a big time frame split in the family. When we moved to Oklahoma City‚ I was in the 8th grade‚ and at the tfme we moved to the city my parents were very concerned about my having what they considered the best education I could get. I had always been something of a prodigy child‚ and I was not being challenged in the segregated school system where I had gone to school in Okmulgee. So when they came to Oklahoma City they spent a lot of extra money to move into an area where I could be able to go to a school that was just being integrated. And they did that because that school had a reputation for having good science‚ English preparatory systems for college. They wanted me to 90 to college. So I was among the five black students that integrated this school. I guess it was in 1961. And the school was about 2‚000 kids and that was not a good experience for me. 
,Yeager, Was this your first experience with white people? 
,Farbes, Well‚ yes‚ it was certainly my first experience in that kind of setting with white people. I didn't really have any kind of contact with them when I was in Okmulgee except that I was always‚ I had been identified by my teachers early on as somebody who was a public speaker. I don't know exactly how that had happened but they had enrolled me‚ my teachers had‚ in the Optimist Club's oratorical contest. I don't know if you are familiar with that‚ but the Optimist International has every year for at least twenty years‚ they have a national public speaking contest every year for high school students. It's operated first on a club basis; people compete for the club championship and then they compete for the local regional championship and then the state championship and then the inter-state regional championship and they they go to the national tournament. And when I was in the 4th or 5th grade they enrolled me as the only black kid in that. So I had done that and it was my only major contact with white people. I had been in that thing‚ and I had won the club championship once. But because I won‚ they didn't send me to the regional because they didn't want to have a black kid representing the region‚ the Southern Oklahoma region. It was sort of the thing I saw in Oklahoma all the time. Anyway when I went to high school‚ and I was integratdng this school‚ and it was really that kind of setting where ... 
,Yeager, Was this before integration? Or was it after‚ integration was in '56. 
,Farbes, Oh yes‚ this was well after Brown vs. the Board of Education‚ but it was the first-ever integration of a high school in Oklahoma City. Any high school. And it was only because of court orders and that sort of thing. Really the effort was the primary result of a single federal judge in Oklahoma City who felt that people who lived in this area shouldn't be sent to an all black school on a different side of town. The school was Northeast High School and I started there in the 8th grade‚ and looking back on it from an educational standpoint it was a great benefit‚ because I was way ahead of the kids I had been in school with in Okmulgee and it challenged me to be in a school system where for example English classes were just more advanced than I had been involved with. So I got a good education there‚ I think‚ and I certainly had a lot of experience dealing with‚ you know being a minority in a largely white society. 
,Yeager, Was that difficult for you? 
,Farbes, It was very difficult‚ and I did not enjoy it a whole lot. But as I   look back on it‚ it was obviously beneficial for me because it helped prepare me for things I had to deal with in the future. The school was a good school academically. and I got an opportunity to be fairly well rounded there. I was in sports‚ and I continued to be in public speaking and they had an outstanding dramatic and public speaking teacher; she was probably the best teacher in the whole Southern United States. She had had national champions in both dramatic and public speaking fields before and she had the best program for public speaking in the state of Oklahoma without a doubt. It was just entirely good luck‚ my parents didn't know this at the time that I went to school‚ but she just sort of took me as her next prodigy. And from the 8th grade‚ which was the first jear that I went to school. until the time I graduated I was always in her courses. I won a lot of stuff in public speaking and drmatic things and I ended up with that being one of my major activities in high school. And I did well ir. high school there‚ and I was in the Honor Society and a11 that other junk and I think I was fairly well prepared to go to college‚ by that school. Have I covered everything that you asked me? 
,Yeager, One other question‚ I want to know your parent 1s political affiliation. 
,Farbes, That's right. That takes a 1itt1e more explanation too. That was part of the reason why I gave you all the background on my father's side of the family and my mother's side of the family. My mother's side of the family as I said‚ my grandfather was something of an official‚ a black official in this county where they lived. They lived in a rural county and he was the head of the school system and he was a Republican. He was a Republican because. as he always explained it to me. Lincoln was in the Republican party and he always voted Republican and he actua11y had some very significant ties to the State Republican Party because he was the leading figure in the county so he knew a number of white Republican officials. I didn't know that then‚ but they relied on the black vote out of that county from the people he could marshall. So my original affil'lation was Republican o.nd my grandfather on my mother's side was a substantial influence on my life when I was younger because I looked up to him and spend a lot of time with him. I lived with them. They lived on a farm in the summer time; I and the other kids in the fmai1y. So he really affected my outlook on things early on at least. My father's side of the fami1y is probably what you would picture as a more traditional picture of where black people fall politically; they were Democrats. They were Democrats because the Democrats supported the unions and my father's side of the family was basically laborers and they were involved with the Unions so they voted the Democratic Party. So there was a split in the family politically and I did not get very much involved with politics as a result of that. I never affiliated with any political c 1 ubs even though there \'</ere a few of those in high school because there rea 11 y wasn't any pressure one way or the other in my family to do that. So their orientation‚ while being different as a result of their backgrounds‚ was the same as many bl ads in the south and that was to try and vote for an individual candidate that they thought was going to help the lot of blacks in general. So obviously they were supporters of Kennedy in 1960 and felt the impact of the turmoil that started in part with Kennedy being assassinated. I can still remember that happening and what an impact it had on my family. How my grandmother on my father's side stayed up for 48 hours saying Rosary's because Kennedy was a Catholic. It‚vtas a funny bunch of ties. Kennedy was a Catholic and for that reason a11 the people on my father's   family thought that he had to win and God was on his side. It was a sort of strange mixture of things. I was not what you would call a political activist by any means when I was in high school. 
,Yeager, Since your grandfather had such a great influence on your early perception of the world‚ could you just talk a little bit about him. 
,Farbes, He was‚ when I knew him‚ an elderly man already and he was a very quiet man but he had strong convictions abou the necessity that one carries one's own loads in life. He was something of a historian and he used to read American History to me. He used to wonder when I was in high school- ! used to read mythology‚ I went from mythology to science fiction so I was always reading things that weren't real‚ and we used to have discussions about why I was always reading things that didn't happen. He used to read the Union War Studeis and what he said was the world that was out there and that I have to live with is a lot more interesting to me than something that is made up and from what you read about things that happen you can learn about what to expect to h'appen in the future. And I came to understand what he meant by that when I got to the point where I had‚ I could read history and I guess had the maturity to stay with those kinds of things till I started to see the benefit of what he had talked about. He was a quiet man and he was a retired teacher and he had worked for a time in Washington‚ D.C. and as I found out later that was a result of his contacts with the Republican Party.‚ He had gotten some appointment with the Bureau of Records and Standards and for a black person that was a very high appointment. And he had gone to Washington and worked for a couple of years and he really liked that; my gradmother didn't like that so they moved back to Lincoln County~ OK to teach and stay there until he retired. He had a pension and my grandmother had a pension and they lived on a farm and they grew stuff on the farm. I don't think he really had much in the way of formal occupation after retirement‚ but he was kind of a mentor for everybody in the area. People never referred to him as “Mr.“ His name was Brown and they called him Professor Brown and that was both the black and white people. Because they weren't very many educated people in that area. So I thought a lot of him and I guess his approach to life rubbed off on me in that he wasn't a shouter and he wasn't a screamer. He was a quiet man with strong convictions that were apparent and people respected them. 
,Yeager, How did you choose Grinnell?· What were your friends reactions to your choosing Grinnell‚ your parent's reactions? And were you actively recruited? 
