timestamp,speaker,words
,Elizabeth Turner Beyene, My parents were graduates of Northwestern‚ my father‚ and the University of Chicago‚ my mother. I'm from Chicago‚ was born and brought up there. My father was a physical education teacher in the Chicago public schools‚ and my mother was a librarian for the Chicago public library system. At the time I was growing up‚ Chicago was completely segregated by neighborhoods‚ racially‚ ethnically‚ religiously‚ all those things. For a long time‚ my family‚ my brothers‚ my parents‚ and I lived with my grandmother because my father even though he had the money‚ was not able to buy a house in what he considered a nice neighborhood. So we all lived with my grandmother until things in Chicago‚ housing segregation‚ eased somewhat. I attended Hyde Park High School‚ which was a large variagated high school‚ but at that time the majority of the student population was probably middle class and upper middle class Jewish students from the Hyde Park area. 
,Beyene, My family's background as far as religion is concerned was sort of mixed. My father and his family were long‚standing‚ long term Catholics although I never knew my father to go to church. My mother was from Tennesse~‚ an only child‚ and from a background that was Congregationalist. My brothers and I were baptised Catholics‚ but my mother in an effort‚ I think to promote religious tolerance‚ enrolled us about every other year in a different church school‚ and we attended services‚ at all different types of reld.gious groups--Baptist‚ Catholic‚ Congregationalist‚ Presbyterian‚ Quaker.
,Beyene, How did I choose Grinnell? Well‚ I'll tell you. My family was as I say now‚ I wasn't so sure about labelling it then‚ but was a really strict family which kept very close tabs on what children were doing‚ where they were‚ times to come in in the evening‚ that kind of thing. My family did allow my brother and I to go to parties‚ but we both had to go together‚ and I don't think that I had any permission to date or have company in the household until I was over 16‚ and by that time‚ I was a senior in high school which gives you some idea of the strictness involved. Actually it looks strict now‚ but most of my friends were undergoing the same kind of act and just thought of that as the norm. And that has something to do with my parents who expected that I would either go to the U. of Chicago or Northwestern and live at home‚ and I was silently determined to get out of Chicago and get out of my house. By the senior year in high school‚ I was considering these to be very restrictive circumstances. I think a counselor‚ a guidance counselor‚ or a teacher‚ at my high school gave me a list of schools she felt would suit me‚ and she suggested that I apply to some of them‚ and Grinnell was on that list. I had never heard of it. And so it was purely circumstance that I attended Grinnell because Grinnell was the first school of all those I applied to which responded to my application with a commitment for scholarship assistance and admittance‚ and without waiting to hear from any of the others‚ I sent back an acceptance letter.
,Beyene, My friends and parents' reaction to all of this was dismay‚ I think. You know the phrase‚ Grinnell‚ where is that? In Ohio? Who ever heard of it? But I saw it as an avenue of escape from home and from restrictions at home and sent in my acceptance. I'm sure there were Grinnell alumni in the Chicago area at that time. I never spoke to any of them. There wasn't or there did not seem to be that kind of formalized process‚ that students go through now. It was all kind of done in a vacuum. I didn't visit Grinnell. There were a couple of pictures in the catalog‚ but it was really an unknown. 
,Beyene, As far as personal and occupational goals‚ I think those for me were pretty much in place before I got to Grinnell. I had worked with the American Friends Service Committee since I was a freshman in high school on their weekend work camps‚ their seminars‚ their teen councils‚ their social programs for being involved in depressed communities and being helpful to groups of people who were in dire circumstances‚ and I had pretty much made up my mind by the time I was a junior in high school that I was going to be a social worker and continue doing that kind of thing. The AFSC really made a big impression on my formation of goals and my philosophy. And Grinnell probably helped build on that‚ but I was pretty much set in that direction before I ever got there. 
,Beyene, So my primary concerns as a student after reaching Grinnell? Freedom‚ freedom‚ have a good time‚ and fight against restrictions. The academic part really--I did my work‚ I had never had any academic problems in high school. There wasn't any‚ you know‚ concern on my part about doing well in classes. I was pretty cocky about stuff like that. 
,Beyene, Political concerns were just beyond the pale for young college students in those days. I think my primary concerns were to have a good time. I pretty much did. I don't think living previously all my life in an urban environment made it difficult to adjust to Grinnell and a rural setting. I enjoyed it. I had had enough of Chicago‚ and Grinnell was new and different and to me very exciting. I often wonder now how it affected the students from rural areas who would leave the sam@ kind of setting and move to Grinnell and be there for the four years. I wonder often if they didn't feel that they were missing something by not having gone to some kind of school that was somewhat different. But it was great for me. 
,Beyene, When I lived in Chicago as a pre-teen and a teenager‚ I used to spend all my money from babysitting‚ horeseback riding in Washington Park at four dollars an hour and ... don't remember experiencing homesickness or wishing had never come or any of that kind of freshman‚ sophomore slump at Grinnell. 
,Beyene, How many other black students attended Grinnell? Well‚ not many. I think there couldn't have been more than teh all together the whole time I was there... and I remember Don Steward. I think he must have been a year behind us. And some men‚ black men‚ who were seniors at the time I was a freshman and not many more people. I can't remember any other names except that once a year in the spring semester‚ we would get visiting students who were there for a semester from Hampton on some kind of exchange program‚ who would come for the spring semester and would never show up again‚. I don't remember any of their names‚ but I think that they provided a kind of jolt to both black and white stud&middot;ents at Grinnell out of that complacency that most of us were in about social and political events outside Grinnell and outside of Iowa. 
,Beyene, What kind of interaction with those other few black students? Well‚ we certainly didn't organize. You can hardly organize three people into a group but‚ and we all lived in different halls. But the interaction was there. You know‚ you give the hi sign to each other when you're crossing campus‚ and you go by their room a couple of times a week so you can let down your hair and talk things amongst yourselves that black people don't talk aboutto white people. We knew a lot about each other‚ but we didn't hang together as the kids say now. But we were aware that we were a minority‚ and we were aware that we had probably more in common with each other than we had with most of the white students on campus. It's kind of that underlying Black consciousness‚ and we certainly didn't talk abou Black consciousness then‚ but it was a factor. It was there. We recognized it. 
,Beyene, I had the same roommate for four years. A whie student. from New Jersey‚ Patricia Ann Prior‚ now Becker‚ whose parents and‚ she‚herself‚ had written to the college requesting either a foreign student or a black student‚ or any other minority student as a roommate prior to her coming to Grinnell as a freshman. And low and behold‚ didn't the Dean of Women's office write her parents back and say to them‚ Now we have this nice claan student from Chicago of a nice well-educated family‚ and we're going to assign her to your daughter as a roommate. If there is any objection to this‚ any reason why you would not like this assignment to go through‚ please just write back and we will quietly change it. And Pat was kind of ahead of her time. She had been involved in a black community center in New York City for years as a teen volunteer and a camp counselor during the summers‚ and she had a wide circle of friends of ail.l kinds of nationalities‚ ethnic‚ racial‚ and religious groups. And was a very cosmopolitan kind of person. Her mother saved the letter and sent it to my parents‚ indignant that this should be something that Grinnell did. Mrs. Prior also wrote to the Dean of Women and expressed that indignation as well. But the incident points up that the problems that I had as a student at Grinnell were not problems of relating to other students or feeling uncomfortable in dorms and in dorm life‚ but my problems as I try to recall them and call them up and talk about them end up being problems with the faculty‚ problems with the administration‚ around racial things. And this is a good example of that. Pat and I are friends for life. We were roommates for four years. She is a godmother to my oldest child. I'm godmother to one of her kids and whenever I'm anywhere near where she is (she's moved around a lot more than I have)‚ we visit each other and the friendship is probably in better shape than it was when we were Grinnell students. So I can't say that roommate adjustment difficulties were any part of my Grinnell experienee‚ unless you count bein roommates with someone who is messy when you're neat which I don't think can be even counted‚ not in this context anyway. 
,Beyene, I wasn't aware until that letter was sent to me by the Prior's that there was any policy that Grinnell had about housing for black students or roommate assignments or anything else of that sort. The catalog and the letters from the college to me and to my family seemed to be stressing that there were no problems like this at Grinnell. It means that the administration certainly had a different idea about the definition of problem from their side than from let's say a set of balck parents might be worrying about what would happen to their child away from home for the first time. 
,Beyene, White students generally reacted in a friendly‚ open‚ helpful‚ and sometimes curious way in the sense of curiousity about black students. Let's face it‚ Here you have a situation where in the majority culture‚ the media‚ the press‚ television‚ movies‚ books‚ curriculum‚ black people just didn't exist. Everywhere from commercials and magazines to news in the newspaper‚ unless it was news about crime. You had this white student body who are intellectually bright‚ well adjusted‚ middle class and upper middle class teenagers from segregated‚ sheltered environments living in a culture which pays no attention to the presence of minority groups‚ at that time. I am‚ under those circumstances‚ really you know encouraged by the response of people from this background carrying their stereotypes with them‚ who‚ because they were good people‚ were able to overcome those stereotypes very quickly and both emotionally and intellectually realize ideas about similarities between groups of people‚ which were contradictory probably to what they had absorbed from the general culture. I had many good friends‚ close friends‚ while a student at Grinnell. And these white students had never had any contact or prior experience with black people on a personal level and as I say they certainly didn't have any experience of black people on even an abstract level. Maybe that made the difference. I'm not sure. But as I said before‚ my problems at Grinnell tended to be problems with faculty and administration‚ not with other students. Sure white students would read something in the Raper or read some assignment for class and come and ask you‚ It'says here black people do this‚ than‚ and the other thing‚ do they? Or why do they‚ or can I touch your hair? That was for the first month or so when I was a freshman‚ that was common. But that phase with the class that entered with me lasted a short time‚ and if there are 800 students aib the school‚ you certainly aren't good friends with all of them‚ but I had many good friends‚ and maybe there were people walking around thinking fascist thoughts abour racial purity in the student body‚ but they kept it to themselves or as far as I know‚ or at least they kept it from ‚e because I didn't have the feeling 6f being in a hostile environment. 
,Beyene, As far as cultural identity is concerned‚ I don't think I considered myself to have a separate cultural identity. Sure‚ I came from a family where my mother encouraged and brought home books by black writers particularly Arna Bontemps. She had gone to school with him. We had Langston Hughes books lying around the house. But it was never a primary focus in my family. The focus was and it was even put this way--be excellent‚ Do better work than everybody‚ Be on top. Commit yourself to academic excellence and meet that commitment‚ That was the primary and factors of cultural identity and feeling of separatism was not stressed in my family in conversation or in parental lectures or things of that sort‚ That's not to say that there was any attempt to sweep under the rug the effects of discrimination‚ for example‚ against black people and black individuals. In fact‚ one of the recurrent topics that my father would discuss with us was why he never got a promotion in the Chicago public school system‚ because it was based on race. He was a teacher for 45 years and became a supervisor and got a promotion only in the last 10 years that he worked for the Chicago Board of Education. So it's not‚ what I'm saying is that‚ it wasn't that there was an unawareness of what it meant to be black in the society but that it was reallydiscounted in my family‚ that the key as far as my parents were concerned was that you be as good as your potential and you won't have any problems. 
,Beyene, Social interaction was mostly for me at least on an intermural kind of level. You stayed friends and you did things with the people that lived in the same dorm as you did. If you weren't ready for the pinning‚ and pre-engagements and serenades from the front of the house by the Glee Club and all that boy meets girl and immediately hooks up with the girl for life kind of think‚ most of your activities would be athletics‚ and hanging out with a bunch of people from your hall‚ from your dorm. I dated a black student who was a senior when I was a freshman‚ But after he left‚ until I was a senior‚ I didn't date anybody else on campus‚ and yet I was always busy doing things. I was a lot younger than a lot of the students in my class‚ having skipped a couple of grades‚ and I really was kind of maturing‚ or trying to‚ the first couple of years at Grinnell‚ By the time I was a senior‚ I began dating a student‚ a white student‚ who was __ -9-lso a sociology major in my class‚ At that time‚ in my senior year‚ was when the other quote big incident about racial things occurred. He was in the process of getting ready and making applications fo.r graduate school and the chairman of the department‚ John Burma‚ called him in and said‚ Hey‚ quit. Stop doing that. If you keep going out with her‚ you're getting me very worried‚ and I don't think I could write recommendations for you for graduate school. There you are‚ you think that you have thought all along that you are an integral part of this community‚ you're doing well academically‚ you're involved in extra-curricular activities‚ track and volleyball and hanging out at the student union and you know‚ Yea‚ yea Grinnell almamater. And bam‚ something like that his you‚ and you just aren't prepared to handle it because you lived in this fantasy environment all this time. When that happened‚ I can still recall those feelings that I had‚ and in essence‚ they were panic‚ rage‚ and fear. Ok? Because I was in no way prepared to fight back against something like that‚ and the guy involved certainly wasn't and rage because of being in that position and getting slapped in the face‚ literally and fear that if I didn't stop dating him‚ that I would literally ruin his career. I think it's correct to say that‚ oh‚ wait a minute. Let me back up a bit. After the end of that side‚ you probably want to know‚ what did you do in that situation. I quit dating the guy. I told him to get lost. I didn't want to go out with him anymore‚ because I didin't want to feel responsible for you know mucking around with his career. I guess I'm still made about it. OK. 
