timestamp,speaker,words,tags,highlight,timelink
[0:00],David Jordan,"This is February the 25th, 1982, Stuart Yeager conducting an interview with Edith Renfrow Smith.","Edith Renfrow Smith","Edith Renfrow Smith",
[0:10],Yeager,"I just wanted to ask you -- The very first question is:  Is Anna May Lucas still living?",Anna May Lucas,,
[0:15],Smith,"Yes, she is.",,,
,Yeager,"Oh, where is she living?",,,
,Smith,"In Stockton, California.",Stockton; California,,
,Jordan,"Do you have her address?",,,
,Smith,"I have it -- but she is not competent. And her name is Anna May Boyden now.",Anna May Boyden,,,
,Jordan,"How do you spell that?",,,
,Smith,"B-O-Y-D-E-N. But her husband would be very helpful. His name is Howard Boyden. She is in a nursing home.“Howard Boyden“",,,
,Yeager,"That's too bad.",,,
[0:53],Smith,"Yes. And if you had talked to her last summer, she would have been fine, but just this past fall,, she's had to go in the nursing home. And, of course, it all depends. It's like all older people. She has her good days and bad days. So, if you get her -- and any questions you might have, you might give them to her husband and he would be able to secure the information for you on her good day.",,,
,Yeager,"O.K. She lives in Stockton, California. Is that near San Francisco by any chance?",Stockton; California; San Francisco,,
,Smith,"It's about fifty miles.",,,
,Jordan,"Stuart was in San Francisco last weekend.",San Francisco,,
,Smith,"Oh, I see. Well, that would have been a -- I hadn't been out here last week so... Because you could have called him. It was close enough.",,,
,Yeager,"I would have gone down there. I wanted to ask you first off a couple of questions about your mother before we get to your own experience. Your mother's name was...",,,
[02:11],Smith,"Eva Pearl Craig.","Eva Pearl Craig",,
,Yeager,"Eva Pearl Craig. Do you have any idea whether -- when she went to this Grinnell Academy.",Eva Pearl Craig; Grinnell Academy,,
,Smith,"Well, if you can check back on Grace Parsons, who was a classmate of hers --",Grace Parsons,,
,Jordan,"Parsons?",Grace Parsons,,
,Smith,"Yes, Grace Parsons. Grace Parsons Peck. ",Grace Parsons; Grace Parsons Peck,,
,Laura Wieman,"Mrs. Paul Peck.","Mrs. Paul Peck.",,
,Yeager,"They went the same year?",,,
,Smith,"Yes.",,,
,Yeager,"O.K. Did she graduate?",,,
,Smith,"No.",,,
,Yeager,"She went --",,,
,Smith,"I don't know how long.",,,
,Yeager,"You don't know how long.",,,
,Smith,"No, I don't know how long.",,,
,Yeager,"O.K.",,,
[02:54],Jordan,"Do you know if others of the black community in Grinnell went to the academy?",,,
,Smith,"Well, as far as I know, there weren't that many here then. Because my mother has never spoken of them. So if they lived here, she didn't know about it. So I don't think. they --",,,
,Wieman,"None of her relatives went?",,,
,Smith,"Well, Uncle John, who was Anna May's father. You know, she was here living with them over on West Street. That was when the triplets were born.",Uncle John,,
,Yeager,"So, as far as you know, Anna May Lucas was the only other black?",Anna May Lucas,,
,Smith,"No.",,,
,Yeager,"Well, in your family anyways, or in the town of Grinnell, to come to Grinnell.",,,
,Smith,"Yes, she's the only one. I'm sure she was the only one.",,,
,Yeager,"Do you know why Anna May did not stay at Grinnell?",Anna May Lucas,,
,Smith,"She decided to take up nursing. And she went to Kansas City.",Kansas City,,
,Yeager,"You talked in your interview about a man from Zululand.",Zululand,,
,Smith,"Yes.",,,
,Yeager,"Couldn't find him anywhere.",,,
,Smith,"I don't understand that.",,,
,Yeager,"Couldn't locate his name.",,,
,Smith,"His last name was Sedweyo.",Sedweyo,,
,Yeager,"You don't happen to know how that was spelled?",,,
,Smith,"I've heard half a dozen --- but he was from Zululand.",Zululand,,
,Wieman,"What year was that, Edith?",,,
,Smith,"Well, he was here at the same time the -- Campbell, --",,,
,Jordan,"Mona Chie?",Mona Chie,,
,Smith,"He came at the same time as Mona Chie. Mona Chie died and he stayed. He finished out the year. Now, whether he came back the next year, I don't know. But, see, Mona Chie died of pneumonia. Do you have a record of Mona Chie?",Mona Chie,,
,Yeager,"Yes. I have --",,,
,Smith,"Well, then, Blamos Sedweyo was -",Blamos Sedweyo,,
,Jordan,"Do you have any idea of the spelling?",,,
,Wieman,"Well, if you looked in that class register and there was a very foreign sounding name --",,,
,Smith,"I have that in a book that he signed at our house and I don't know where -- I hope I can find it. It's an old book that mother had and I haven't looked at that book for years.",,,
,Yeager,"Did all the Grinnell students sign that book?",,,
,Smith,"No, no. He just happened to sign it because -- Oh, he did the caligraphy, so that was why it was so outstanding, because I write so terrible.",caligraphy,,
,Yeager,"Do you know anything else about him?",,,
,Smith,"That's all.",,,
,Yeager,"That's all you know. And do you think he was one of the Rosenwald scholars?",Rosenwald scholars,,
,Smith,"I think so. I'm sure he was, because I think all of them came here at the same time. Hosea Campbell and ---",Hosea Campbell,,
,Yeager,"Did Hosea Campbell come to your home?",Hosea Campbell,,
,Smith,"Oh, yes, See, all of those fellows --- the reason I know about them is because I was just a little girl and they came to the house on Sunday afternoons and my sister played the piano and they would sing and Mom always had something for them.",,,
,Yeager,"So you wouldn't be able to recall anything specific about any of these people other than their names, probably.",,,
,Smith,"Nothing other than the name. And then one of the fellows was my sister's boy friend.",,,
,Yeager,"And that was Gordon?",,,
,Smith,"No, no.",,,
,Yeager,"That wasn't Gordon.",,,
,Smith,"No, Gordon Kitchen was Anna May's boy friend. Siebert Dove. He taught at Prairie View.",Gordon Kitchen,,
,Yeager,"Right. And he's past away, right?",,,
,Smith,"Yes.",,,
,Yeager,"You have no idea, anything about Alphonse Henningburg?",Alphonse Henningburg,,
,Smith,"Well, he's still living.",,,
,Yeager,"He is?",,,
,Smith,"Yeah. And --",,,
,Jordan,"No, he's not living now.",,,
,Smith,"He's not living now? Well, when did he die?",,,
,Yeager,"I have no record of him. He's lost.",,,
,Jordan,"I was thinking of Hightower. Kealing, tall. He died last year.",,,
,Smith,"Yes. But as far as I know Alphonse is still living.",Alphonse Henningburg,,
,Yeager,"Do you have any idea where he's living?",,,
,Smith,"Well, I could ask my sister because --- the last time, I think, she said he was living in New York. Now, I'm not sure.",,,
,Yeager,"In the city?",,,
,Smith,"In the city of New York. But I can find out. One of my two sisters knows where.",,,
,Yeager,"He used to live around Hempstead, New York, and I called the directory assistance around that area and they had no Henningburg listed so I was wondering.",,,
,Smith,"Well, I'll ask her because she'll probably know because she keeps tabs with lots of people.",,,
,Yeager,"Which sister is this?",,,
,Smith,"This is my sister Alice. She's the one that finished from Hampton Institute.",,,
,Yeager,"And is she living in Washington?",,,
,Smith,"She lives in Forestville, Maryland. That's right out of ---",,,
,Yeager,"I live in Maryland.",,,
,Smith,"Oh, do you?",,,
,Yeager,"Yeah.",,,
,Smith,"Well, you know, it used to be Suitland and they changed the post office to Forestville. That's where she still lives.",,,
,Jordan,"Do you know anything more about the Rosenwald Scholarship Program?",,,
,Smith,"All I know is that they sent those boys here and paid their way.",,,
,Jordan,"One of the reasons we ask","The first group did not appear to have the direct connection with Tuskegee, but the group that came in the 1920's, three of them came from Tuskegee.",,
,Smith,"Yes, but see those, I think, you see, Mona Chie and Blamos Sedweyo, they were Africans and they wouldn't have any direct connection with---. And, I think, it was only later that Rosenwald was in touch with Tuskegee.",,,
,Yeager,"Now, Siebert Dove lived with the Steiners.",,,
,Smith,"Yes.",,,
,Yeager,"What kind of a connection was there between Steiner and Dove?",,,
,Smith,"Probably none. Only thing, he spoke French fluently and they were very literate and they probably were --- they were liberal. And they were happy to have him. Because at that time Grinnell was not a liberal town at all. There were many well, it was just like living in the South almost in some places -- because, they couldn't go up to the movie. They had to sit up -if you went to the movie, you had to sit upstairs.",,,
,Yeager,"And the restaurants were very restricted",,,
,Smith,"Well, who went to the restaurants? No one could afford to go to restaurants so we really didn't --- that didn't enter into it. But, I mean things like --- and then we had the Candyland. And of course we weren't allowed in the Candyland.",,,
,Wieman,"Where did the other fellows live?",,,
,Smith,"Oh, they lived on campus. And I don't know why Siebert Dove lived there with the Steiners.",,,
,Yeager,"They all seemed to live in Smith. A popular hall. Did you know Clifton Lamb?",,,
,Smith,"Yes.",,,
,Yeager,"I was just curious. He is living in Maryland and I'm going to be seeing him over the vacation.",,,
,Smith,"Did you know we always considered him more Indian than anything else.",,,
,Yeager,"Why is that?",,,
,Smith,"I don't know. I guess it's just because when I was a little girl we just thought he was an Indian.",,,
,Wieman,"That's interesting ..",,,
,Smith,"It was.",,,
,Yeager,"Did he have contacts with your home also?",,,
,Smith,"Oh, yes. I don't think any of them didn't come to the house.",,,
,Yeager,"From when to when? From what period to what period?",,,
,Smith,"All the time they were here. Because as long as my sisters were home they came. And of course Clifton Lamb, he spent a lot of time with Anna May. Because she was artistic and so was he.",,,
,Wieman,"He wasn't part of the Rosenwald",,,
,Smith,"He was a Rosenwald Scholar too.",,,
,Yeager,"Can you tell me something about the Cosmopolitan Club since Anna May was very much involved in that. She traveled to Des Moines ---",,,
,Smith,"Oh, well, don't ask me about that because I was too small.",,,
,Wieman,"Have you talked to Rebecca French about that?",,,
,Yeager,"No, I haven't. I'm going to.",,,
,Smith,"Now, I think she would be a very good person to talk to.",,,
,Yeager,"Can you tell me a little bit --- you talked on the tape about Professor Wittler and you mentioned that he had encouraged you to come to Grinnell.",,,
,Smith,"Yes, because he told me that I could be a secretary if I came to Grinnell College.",,,
,Yeager,"So, he offered you a job.",,,
,Smith,"Well it was through the college. It wasn't outside the college. It was through the college that he said he would take me as his secretary.",,,
,Yeager,"I see. So that enabled you to support yourself through school?",,,
,Smith,"Well, it helped.",,,
,Yeager,"It helped.",,,
,Smith,"It helped. I mean, you can't, no, if my mother hadn't lived here, I wouldn't have been able to go to school, because, you see, I didn't have to pay any board and room.",,,
,Yeager,"So you went home during the dinner hour.",,,
,Smith,"Yes. Except when it was twenty-six below.",,,
,Yeager,"I was wondering. So you weren't actively recruited by the college at all, other than just through this ---",,,
,Smith,"Oh, no. Well, I mean, they didn't recruit me at all. I recruited myself because I --- see my other sisters had gone to --- one had gone to Ames and one had gone to Fisk. But I said I wasn't going to college unless I'd go to Grinnell College.",,,
,Yeager,"Why was that?",,,
,Smith,"Oh, I just loved it. And as long as I can remember we had been corning --- we always came up for the concerts and we came up for Vespers on Sunday afternoon. And Mrs. Conard was our Campfire leader and then I belonged to the Uncle Sam's Club which was a part of the social work that the college did and Rebecca came down and so really from as long as I can remember we had been associated with the college students and it always seemed like they were so interesting and they always did such great things. I recruited myself. And Professor Wittler just helped.",,,
,Yeager,"So you did work for him after you got to Grinnell? And you worked as a secretary.",,,
,Smith,"Oh, yes.",,,
,Yeager,"Was that the whole four years?",,,
,Smith,"And then I also worked over in the, oh, where they did the duplicating, you know.",,,
,Wieman,"Oh, yes, service bureau, whatever it was called.",,,
,Smith,"Well, whatever it was. It was in the administration building.",,,
,Wieman,"Yeah. Thirty-five cents an hour.",,,
,Smith,"Yeah. Well, it was good money.",,,
,Wieman,"That's right. That was good money.",,,
,Smith,"Yeah. That was great money.",,,
,Yeager,"At that time, what type of occupational goals did you have? What were you planning on doing with your degree?",,,
,Smith,"Oh, I was going to be a psychiatric social worker.",,,
,Yeager,"When did you change your mind?",,,
,Smith,"They changed it for me. were a senior, they took to people who would hire person who would hire me When, you know, back then, when you you to Chicago and introduced you you after graduation. Well, the only was the YWCA. You take what you get.",,,
,Yeager,"Do you think that was because of race?",,,
